barcode;price;due_data;stock
7596526000097;166.03;NO;48
7898100242900;98.45;NO;285
18904030979338;112.62;NO;10
7592349844757;130.07;NO;5
7592349722963;217.83;NO;17
8906130231067;108.99;NO;22
7590027002536;74.41;NO;44
8906130231050;91.55;NO;43
7703712031326;142.05;NO;17
7703712034679;86.83;NO;119
8906112611856;38.51;NO;589
7590027002413;120.77;NO;475
8906102520083;92.28;NO;8
7592616220017;52.84;NO;66
8906130230114;261.94;NO;101
7703038066606;830.5;NO;377
7592616221014;83.85;NO;4
8906082150775;103.9;NO;53
8906130231937;769.47;NO;2
8906130232118;2191.06;NO;1
8906112611450;82.47;NO;74
8906130231074;986.0;NO;2
7590027002796;206.81;NO;313
7590027002802;382.45;NO;253
7592349722949;406.88;NO;15
7707019334203;259.4;NO;14
7598455000414;349.13;NO;5
8904159499789;36.33;NO;65
228598745633;350.22;NO;18
7709990751901;334.24;NO;60
7590027001942;86.99;NO;213
7800061000390;26.88;NO;138
788070698777;223.06;NO;19
788070698784;350.16;NO;21
7596526000141;166.03;NO;1
7707288824641;659.03;NO;12
7707288824610;411.98;NO;10
7750215007846;373.11;NO;2
7593090001123;369.61;NO;7
8904179736048;187.46;NO;7
8906109691236;31.24;NO;4
7468999187707;51.23;NO;61
8906130230237;617.61;NO;54
8906130230244;875.19;NO;36
7590027002314;122.96;NO;350
7896112403166;45.05;NO;415
7598008002056;30.15;NO;147
7598008000496;22.16;NO;51
7591012010208;94.46;NO;32
7908020502586;93.37;NO;2599
7592349001167;347.2;NO;1
7592349001150;336.0;NO;5
7591243831474;144.67;NO;50
7591243831641;161.16;NO;5
7592349723571;93.09;NO;2
8904324101400;49.77;NO;14
7592616361017;33.24;NO;526
7703038050339;582.73;NO;76
7598650000462;23.25;NO;40
7592616583051;100.41;NO;30
7592349723755;65.81;NO;11
7592616576374;60.39;NO;286
7592349001174;200.31;NO;30
7703038067719;1063.74;NO;22
7592616366043;75.34;NO;126
7703038050346;410.89;NO;32
7896714208565;44.69;NO;5968
7590027002499;65.76;NO;49
7592349001051;124.43;NO;21
7451108300135;304.81;NO;36
7596526000714;202.36;NO;392
7599028000695;57.4;NO;70
7598506000080;248.13;NO;39
7598506000042;198.73;NO;12
7598506000066;93.37;NO;89
7598506000097;90.83;NO;1
8906122851471;38.87;NO;79
7598176000472;50.5;NO;2
7750215010310;304.81;NO;26
7592616375014;85.59;NO;101
7707236121822;475.92;NO;39
7591012038004;66.48;NO;25
7593090001628;53.29;NO;16
7707236125035;203.81;NO;48
7598650000486;23.25;NO;65
8906078135717;58.49;NO;1
8906082150744;36.33;NO;41
8906130230275;154.77;NO;12
7598650000844;217.98;NO;60
8904187835108;19.98;NO;11
7598008000557;15.99;NO;80
7703712033061;49.41;NO;10
6942189304316;84.65;NO;48
7703712035799;241.96;NO;64
7703712031456;151.13;NO;14
7592616382012;118.47;NO;24
7596139004185;88.28;NO;4
7702098400900;68.66;NO;116
7702098031333;137.69;NO;57
7592349527124;309.13;NO;1
7590027002154;86.09;NO;217
8906130231111;431.96;NO;11
7591243834062;37.78;NO;48
7591243834086;91.57;NO;45
793869810537;181.65;NO;32
8906142160171;165.3;NO;13
7592616136585;84.31;NO;33
7592616583075;89.21;NO;26
7703038050452;1374.36;NO;9
8904324102711;93.37;NO;13
7896523202600;56.31;NO;1607
7591096002328;42.51;NO;66
791466994940;337.87;NO;5
7896714231143;65.03;NO;944
7598455000261;349.49;NO;20
7707236121594;389.46;NO;16
7598852001496;96.27;NO;21
7598852001502;99.18;NO;12
8906130231159;208.9;NO;65
8904269002336;518.43;NO;24
7598650000523;89.74;NO;47
731946648680;96.27;NO;892
731946648505;23.61;NO;11
7592349722451;91.65;NO;7
7592349551860;119.03;NO;6
7703712031388;102.81;NO;1
7703038066729;1502.61;NO;20
8902382730013;272.97;NO;22
7501384506865;265.57;NO;2
7703689087821;25.79;NO;2446
791466993516;48.68;NO;27
7598127001640;161.31;NO;24
7590027000174;156.46;NO;325
8904159415178;78.11;NO;58
7598677000070;103.54;NO;6
7800061001953;37.06;NO;235
7591651722302;158.11;NO;33
7598852001649;242.32;NO;13
7598852001403;204.9;NO;19
