barcode;price;due_data;stock
7598484001017;66.3;2025-02;3096
7590027000167;127.49; 2026-02;1097
7591020000758;249.41; 2026-01;340
7591020008082;366.85; 2029-01;182
7591020080613;516.23;2028-10;33
7591020009003;310.14;2026-01;390
7591020009010;433.8;2026-01;166
7703763875993;127.23; 2025-08;309
7707236120641;376.48; 2025-12;20
7592432000299;75.43;2025-05;180
7591585313546;149.5; 2025-08;215
7591585213549;273.12; 2025-08;78
7591061508176;85.85; 2025-11;11
7591061400111;24.15; 2025-11;155
7591061399989;67.0;2025-11;66
7591061400142;113.66;2025-11;10
7598055000456;65.0; 2025-03;98
7861152100016;113.88; 2026-08;142
7592454003117;95.75; 2027-01;794
7592454001212;77.53; 2026-01;539
7592454003063;155.73; 2026-02;1097
7592454000802;53.05; 2026-01;1064
7592454000789;90.64; 2026-02;1332
7592454000796;168.17; 2026-02;2135
7592710000362;212.19; 2026-04;16
7594001101024;78.0;2026-02;485
7594001101581;63.38;2025-12;28
7594001101673;39.0;2025-10;475
7593090001024;93.29;2025-06;436
7593090000157;59.2;2026-11;261
7593090002113;138.14;2026-07;403
7591955003084;214.5;2025-06;155
7591955000915;208.0;2025-05;49
7591955003091;351.0;2025-05;90
5065644;765.7; 2027-10;15
8904278584670;281.17; 2026-10;164
8904306500863;695.76; 2025-07;17
7592194003958;2210.0;2034-01;5
7592194003941;2210.0;2034-01;8
7592194003903;2210.0;2034-01;4
7592349911244;163.8; 2025-08;281
7591619520636;169.0;2025-05;675
7591619001166;136.5;2025-10;136
7591619001159;123.5;2025-10;175
7591619518985;88.4;2027-05;150
7592368001278;936.0; 2026-02;12
8940001255738;230.23; 2025-04;29
8906009231020;228.66;2025-08;242
7594000490136;177.28;2025-11;416
7591955558348;250.61;2025-08;542
7591519051889;153.11; 2026-11;149
7591519317732;106.3; 2025-04;46
7591519051902;268.81; 2026-01;325
7591519317718;81.07; 2027-01;223
7591519051872;179.26; 2027-01;1375
7591519317725;92.53; 2026-11;210
7591519051896;194.1; 2026-11;794
7591519317749;104.65; 2027-02;217
7591519317367;231.97; 2027-01;370
7591519317756;120.81; 2027-01;153
7591519317343;312.3; 2026-08;265
7595751003576;50.48; 2025-09;1
7596548000723;42.95;2026-01;10
7598084000540;31.02;2024-09;110
7591061650356;61.24;2025-07;10
6930169708360;74.88;2024-10;312
7592349722925;128.41; 2025-10;901
7592349001723;150.7; 2025-10;386
7592349001068;220.04; 2025-10;414
7591821102095;96.2; 2025-08;510
7591585214706;366.03; 2026-03;794
7592946005742;233.21;2026-01;120
3582910023630;765.68;2025-06;8
7591196002785;130.96; 2026-02;21160
7591196007155;68.3; 2026-01;16643
7591196006462;41.31; 2026-12;4321
7599112000259;442.0;2025-04;5
7592601303176;197.31;2025-04;85
7592601000013;1600.73;2025-07;57
7592601303145;207.18;2025-10;247
7592601000020;1600.73;2026-02;65
7592601303169;207.18;2025-04;163
7592601000037;1600.73;2025-04;52
7592601303152;207.18;2025-04;180
7592601000044;1600.73;2025-09;39
813333012400;39.0;2028-04;625
616513708427;78.59; 2030-01;79
676194174508;245.25; 2026-10;48
617748376337;263.25;2027-11;84
7593090000034;87.91;2025-11;322
7707271451724;625.63;2025-03;24
7592025101600;176.8;2027-04;23
7703281002024;1300.0;2026-01;153
7703281020257;871.0;2025-11;166
7591243801965;533.0;2026-02;65
7591821904378;546.0; 2026-01;433
7592710000379;259.34; 2027-03;42
7598055000616;208.0; 2024-09;61
7598055000470;175.01; 2025-01;72
7598055000654;450.0; 2024-09;73
7592601100126;275.05;2026-05;60
7592601100683;146.95;2026-05;406
7592601100638;249.94;2027-01;1007
7750215023792;204.88; 2025-07;122
7591020009157;129.34;2024-11;53
7591020009164;186.13;2025-09;53
7591243802115;416.0; 2025-10;22
7896206406929;1037.89; 2027-03;11
8904278588258;155.21; 2026-05;140
787790469452;198.37;2027-01;4
7593090000799;202.72;2026-11;288
7593090000676;96.88;2026-11;446
7593090000775;193.15;2026-10;195
7593090000201;92.69;2026-11;368
7593090001079;139.33;2026-12;85
7593090002731;163.25;2026-12;114
7593090000218;212.29;2026-11;551
7593090000706;101.06;2026-11;359
7593434000164;65.95; 2027-02;68
7593434000430;119.77; 2026-06;352
7593533004513;143.65; 2026-11;18
7592806133066;156.0;2026-01;196
7592946000013;203.39;2025-08;25
7707355052083;700.4;2024-11;33
7591585213402;532.84; 2027-10;376
7592710003721;226.33; 2026-03;12
7592710000386;330.06; 2025-03;13
7591821210424;172.9; 2026-03;62
7591821210660;485.64; 2026-03;550
7591821210011;225.64; 2025-10;686
7591821210561;602.12; 2025-10;1075
7591821210028;309.95; 2025-11;391
7591821210578;783.17; 2025-11;1058
7591585261236;371.55; 2025-10;2027
7591585213358;360.95; 2025-10;47
7591585313331;233.9; 2025-10;123
7591585113337;374.92; 2025-05;257
7591585213334;412.7; 2025-10;141
7591585313348;327.78; 2026-02;106
7591585113344;590.76; 2025-09;201
7591585213341;458.85; 2026-02;71
7592601100676;146.91;2025-02;547
7592601301776;143.73;2025-05;85
7592601100140;128.56;2025-02;282
7592710002885;282.91; 2027-03;35
7707233050552;191.49;2034-01;32
