barcode;price;due_data;stock
7467922681688;277.89;2025-08-25;110
7467922680025;304.22;2026-11-25;419
7592349722925;127.43;2025-10-25;893
7592349001723;149.54;;315
7592349001068;218.34;2025-10-25;126
7591821102095;81.82;2025-08-25;86
7591585214706;329.53;2026-03-25;174
7591196002785;116.96;2026-01-25;3126
7591196007155;61.0;2025-09-25;6036
7591196006462;36.88;2026-11-25;4310
7592601000013;1588.4;2025-07-25;42
7592601000020;1588.4;2026-02-25;31
7592601000037;1588.4;2025-06-25;113
7592601303152;205.59;2025-04-25;47
7592601303176;195.79;2025-02-25;20
7592601303145;205.59;2025-01-25;1348
7592601303169;205.59;2025-02-25;41
7592601000044;1588.4;2025-07-25;18
742033994696;119.31;2025-10-25;86
742033994689;47.6;2028-02-25;10
742033994726;47.55;2027-07-25;230
742033994719;47.55;2027-07-25;273
742033994702;47.55;2028-01-25;20
742033994733;47.55;2027-07-25;51
733739110312;679.18;;12
3582910027768;521.1;2026-06-25;36
7593090000034;69.79;2025-05-25;3
7703281002024;1289.99;2026-01-25;40
7703281020257;864.29;2025-11-25;68
7591243801965;528.9;2026-02-25;41
7591821904385;433.44;2025-03-25;5
7591821210714;201.24;;68
7591821904378;541.8;;1
7592601100126;272.94;2026-05-25;184
7592601100638;248.01;2026-10-25;157
7592601100683;145.82;2026-05-25;90
7750215023792;193.16;2025-07-25;43
7591020009157;128.69;2024-11-25;438
7591020009164;184.86;2024-09-25;395
7730512631098;2389.71;2026-02-25;14
7593090000799;181.05;;68
7593090000201;82.78;2026-10-25;30
7593090000775;172.5;2026-08-25;62
7592806133066;154.8;2026-01-25;8
7591585213402;484.86;2027-10-25;51
7591585261236;337.59;2025-09-25;227
7591585561237;133.71;2026-01-25;490
7591585213358;324.97;;3
7591585313331;215.75;2025-10-25;34
7591585113337;461.12;2025-05-25;29
7591585213334;387.25;2025-10-25;23
7591585313348;293.55;2026-02-25;15
7591585113344;311.52;2025-09-25;1
7591585213341;479.28;2026-02-25;21
7592601100140;95.68;2025-04-25;22
7592601100676;109.34;2025-02-25;486
7592601301776;142.62;2024-06-25;76
7591619000589;318.63;2025-05-25;87
7591519000986;114.13;2026-08-25;171
7591257000552;87.28;2026-02-25;2068
7591519000993;117.74;2025-08-25;378
7593090001529;301.44;;38
7598981000469;32.92;2025-06-25;138
675696259966;64.5;2026-04-25;545
7703763090358;176.96;2025-09-25;184
7591585175021;122.92;2029-02-25;68
7591818210512;108.71;2025-10-25;8
7591585373441;166.28;2025-08-25;1
8904306502270;409.93;2025-12-25;8
7591519051551;168.41;2025-08-25;79
7750215028315;326.41;;23
7591020080453;150.68;2025-03-25;100
7597758000732;74.86;2024-11-25;6
7598176000250;111.55;2026-07-25;78
8908007037345;64.5;2026-02-25;63
7591020008884;248.49;;97
7597758000749;96.5;2024-11-25;172
7598176000502;105.25;2026-01-25;84
7598981002470;131.66;2026-05-25;438
7592806123012;174.15;2025-07-25;43
7598677000131;80.92;;23
7592349001129;159.51;2026-01-25;287
7592349722161;200.46;2026-03-25;170
7861028101352;810.11;2024-10-25;27
7758713058827;1395.77;2025-02-25;32
7861028101291;1034.57;2025-04-25;28
7592349001600;563.47;2025-07-25;52
7591635000136;67.17;;46
7591635000228;176.72;2025-08-25;8
7591585114280;828.11;2025-02-25;14
7591196002464;130.79;2025-11-25;566
7591196002471;243.32;2025-09-25;175
8904306503154;819.85;2025-04-01;16
7591619520643;245.1;2026-08-25;28
7591020007597;143.2;2027-12-25;402
8904180213187;84.35;2024-06-25;809
7598800000120;76.69;2026-02-25;2576
7703712030152;84.11;2025-02-25;238
7598176000182;137.51;2024-12-25;48
7598176000052;75.59;2025-02-25;65
8904306503505;65.52;2025-05-25;137
675696259973;99.33;2026-04-25;99
7750215017562;129.64;2026-07-25;56
